GAME OF THE YEAR,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
Life Is Strange,https://en.wikipedia.org/wiki/Life_Is_Strange,Dontnod Entertainment,Square Enix | Feral Interactive (Linux  OS X) | Black Wing Foundation (Android  iOS) | ,Android | iOS | Linux | Microsoft Windows | OS X | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,Episode 1: 30 January 2015 | Episode 2: 24 March 2015[2] | Episode 3: 19 May 2015[3] | Episode 4: 28 July 2015[4] | Episode 5: 20 October 2015 | ,Graphic adventure,Single-player
Tales from the Borderlands,https://en.wikipedia.org/wiki/Tales_from_the_Borderlands,Telltale Games,Telltale Games,Microsoft Windows | PlayStation 3 | PlayStation 4 | Xbox One | OS X | Xbox 360 | iOS | Android | ,Episode 1,Graphic adventure,Single-player
The Witcher 3: Wild Hunt,https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,CD Projekt Red,CD Projekt,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: 19 May 2015 | Nintendo Switch: 15 October 2019 | ,Action role-playing,Single-player
Until Dawn,https://en.wikipedia.org/wiki/Until_Dawn,Supermassive Games,Sony Computer Entertainment,PlayStation 4,NA: 25 August 2015[3]: PAL: 26 August 2015[3] | UK: 28 August 2015[3]: ,Interactive drama  survival horror,Single-player

BEST ART DIRECTION,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
ORI AND THE BLIND FOREST (1st),https://en.wikipedia.org/wiki/Ori_and_the_Blind_Forest,Moon Studios,Microsoft Studios,Microsoft Windows | Xbox One | Nintendo Switch | ,Windows  Xbox One: March 11  2015 | Nintendo Switch: September 27  2019 | ,Platform-adventure  Metroidvania,Single-player
Batman: Arkham Knight,https://en.wikipedia.org/wiki/Batman:_Arkham_Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | ,June 23  2015,Action-adventure,Single-player
Bloodborne,https://en.wikipedia.org/wiki/Bloodborne,FromSoftware,Sony Computer Entertainment,PlayStation 4,NA: March 24  2015: PAL: March 25  2015 | JP: March 26  2015: UK: March 27  2015 | ,Action role-playing,Single-player |  multiplayer
Metal Gear Solid V: The Phantom Pain,https://en.wikipedia.org/wiki/Metal_Gear_Solid_V:_The_Phantom_Pain,Kojima Productions[a],Konami,Microsoft Windows | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 1  2015: JP: September 2  2015 | ,Action-adventure  stealth,Single-player |  multiplayer
The Witcher 3: Wild Hunt,https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,CD Projekt Red,CD Projekt,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: 19 May 2015 | Nintendo Switch: 15 October 2019 | ,Action role-playing,Single-player

BEST SCORE/SOUNDTRACK,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
METAL GEAR SOLID V: THE PHANTOM PAIN (1st),https://en.wikipedia.org/wiki/Metal_Gear_Solid_V:_The_Phantom_Pain,Kojima Productions[a],Konami,Microsoft Windows | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 1  2015: JP: September 2  2015 | ,Action-adventure  stealth,Single-player |  multiplayer
Fallout 4,https://en.wikipedia.org/wiki/Fallout_4,Bethesda Game Studios[a],Bethesda Softworks,Microsoft Windows | PlayStation 4 | Xbox One | ,November 10  2015,Action role-playing,Single-player
Halo 5: Guardians,https://en.wikipedia.org/wiki/Halo_5:_Guardians,343 Industries,Microsoft Studios,Xbox One,October 27  2015,First-person shooter,Single-player |  multiplayer
Ori and the Blind Forest,https://en.wikipedia.org/wiki/Ori_and_the_Blind_Forest,Moon Studios,Microsoft Studios,Microsoft Windows | Xbox One | Nintendo Switch | ,Windows  Xbox One: March 11  2015 | Nintendo Switch: September 27  2019 | ,Platform-adventure  Metroidvania,Single-player
The Witcher 3: Wild Hunt,https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,CD Projekt Red,CD Projekt,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: 19 May 2015 | Nintendo Switch: 15 October 2019 | ,Action role-playing,Single-player

