GAME OF THE YEAR,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
SEKIRO: SHADOWS DIE TWICE (1st),https://en.wikipedia.org/wiki/Sekiro:_Shadows_Die_Twice,FromSoftware,JP: FromSoftware | ,Microsoft Windows | PlayStation 4 | Xbox One | ,22 March 2019,Action-adventure,Single-player
Control,https://en.wikipedia.org/wiki/Control_(video_game),Remedy Entertainment,505 Games,Microsoft Windows | PlayStation 4 | Xbox One | ,27 August 2019,Third-person shooter  action-adventure,Single-player
Death Stranding,https://en.wikipedia.org/wiki/Death_Stranding,Kojima Productions,Sony Interactive Entertainment[a] | 505 Games[b] | ,PlayStation 4 | Microsoft Windows | ,PlayStation 4: November 8  2019 | Windows: June 2  2020 | ,Action,Single-player
Resident Evil 2,https://en.wikipedia.org/wiki/Resident_Evil_2_(2019_video_game),Capcom,Capcom,Windows | PlayStation 4 | Xbox One | ,January 25  2019,Survival horror,Single-player
Super Smash Bros. Ultimate,https://en.wikipedia.org/wiki/Super_Smash_Bros._Ultimate,Bandai Namco StudiosSora Ltd.,Nintendo,Nintendo Switch,December 7  2018,Fighting,Single-player |  multiplayer
The Outer Worlds,https://en.wikipedia.org/wiki/The_Outer_Worlds,Obsidian Entertainment,Private Division,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: October 25  2019 | Nintendo Switch: June 5  2020 | ,Action role-playing,Single-player


BEST GAME DIRECTION,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
DEATH STRANDING (1st),https://en.wikipedia.org/wiki/Death_Stranding,Kojima Productions,Sony Interactive Entertainment[a] | 505 Games[b] | ,PlayStation 4 | Microsoft Windows | ,PlayStation 4: November 8  2019 | Windows: June 2  2020 | ,Action,Single-player
Control,https://en.wikipedia.org/wiki/Control_(video_game),Remedy Entertainment,505 Games,Microsoft Windows | PlayStation 4 | Xbox One | ,27 August 2019,Third-person shooter  action-adventure,Single-player
