GAME OF THE YEAR,Link,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
OVERWATCH (1st),https://en.wikipedia.org/wiki/Overwatch_(video_game),Blizzard Entertainment,Blizzard Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Microsoft Windows  PS4  Xbox One: May 24  2016 | Nintendo Switch: October 15  2019 | ,First-person shooter,Multiplayer
Doom,https://en.wikipedia.org/wiki/Doom_(2016_video_game),id Software[a],Bethesda Softworks,Windows | PlayStation 4 | Xbox One | Nintendo Switch | Stadia | ,Windows  PlayStation 4  Xbox One: May 13  2016 | Nintendo Switch: November 10  2017 | ,First-person shooter,Single-player |  multiplayer
Inside,https://en.wikipedia.org/wiki/Inside_(video_game),Playdead,Playdead,Xbox One | Microsoft Windows | PlayStation 4 | Nintendo Switch | iOS | ,Xbox One: June 29  2016 | Microsoft Windows: July 7  2016 | PlayStation 4: August 23  2016 | iOS: December 15  2017 | Nintendo Switch: June 28  2018 | ,Puzzle-platformer  adventure,Single-player
Titanfall 2,https://en.wikipedia.org/wiki/Titanfall_2,Respawn Entertainment,Electronic Arts,Windows | PlayStation 4 | Xbox One | ,October 28  2016,First-person shooter,Single-player |  multiplayer
Uncharted 4: A Thief's End,https://en.wikipedia.org/wiki/Uncharted_4:_A_Thief%27s_End,Naughty Dog,Sony Computer Entertainment,PlayStation 4,May 10  2016,Action-adventure  third-person shooter  platformer,Single-player |  multiplayer

DEVELOPER OF THE YEAR,Link,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
OVERWATCH (1st),https://en.wikipedia.org/wiki/Overwatch_(video_game),Blizzard Entertainment,Blizzard Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Microsoft Windows  PS4  Xbox One: May 24  2016 | Nintendo Switch: October 15  2019 | ,First-person shooter,Multiplayer
Doom,https://en.wikipedia.org/wiki/Doom_(2016_video_game),id Software[a],Bethesda Softworks,Windows | PlayStation 4 | Xbox One | Nintendo Switch | Stadia | ,Windows  PlayStation 4  Xbox One: May 13  2016 | Nintendo Switch: November 10  2017 | ,First-person shooter,Single-player |  multiplayer
Inside,https://en.wikipedia.org/wiki/Inside_(video_game),Playdead,Playdead,Xbox One | Microsoft Windows | PlayStation 4 | Nintendo Switch | iOS | ,Xbox One: June 29  2016 | Microsoft Windows: July 7  2016 | PlayStation 4: August 23  2016 | iOS: December 15  2017 | Nintendo Switch: June 28  2018 | ,Puzzle-platformer  adventure,Single-player
Titanfall 2,https://en.wikipedia.org/wiki/Titanfall_2,Respawn Entertainment,Electronic Arts,Windows | PlayStation 4 | Xbox One | ,October 28  2016,First-person shooter,Single-player |  multiplayer
Uncharted 4: A Thief's End,https://en.wikipedia.org/wiki/Uncharted_4:_A_Thief%27s_End,Naughty Dog,Sony Computer Entertainment,PlayStation 4,May 10  2016,Action-adventure  third-person shooter  platformer,Single-player |  multiplayer

