GAME OF THE YEAR,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
THE LEGEND OF ZELDA: BREATH OF THE WILD (1st),https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,Nintendo EPD,Nintendo,Nintendo Switch | Wii U | ,March 3  2017,Action-adventure,Single-player
Horizon Zero Dawn,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,Guerrilla Games,Sony Interactive Entertainment,PlayStation 4 | Microsoft Windows | ,NA: 28 February 2017 | PAL: 1 March 2017,Action role-playing,Single-player
Persona 5,https://en.wikipedia.org/wiki/Persona_5,P-Studio,JP: Atlus | NA: Atlus USA | PAL: Deep Silver (Sega (Royal) | ,PlayStation 3 | PlayStation 4 | ,September 15  2016,Role-playing  social simulation,Single-player
PlayerUnknown's Battlegrounds,https://en.wikipedia.org/wiki/PlayerUnknown%27s_Battlegrounds,PUBG Corporation[a],PUBG Corporation,Microsoft Windows | Android | iOS | Xbox One | PlayStation 4 | ,December 20  2017,Battle royale,Multiplayer
Super Mario Odyssey,https://en.wikipedia.org/wiki/Super_Mario_Odyssey,Nintendo EPD[a],Nintendo,Nintendo Switch,WW: October 27  2017,Platform  action-adventure,Single-player |  multiplayer


BEST GAME DIRECTION,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
THE LEGEND OF ZELDA: BREATH OF THE WILD (1st),https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,Nintendo EPD,Nintendo,Nintendo Switch | Wii U | ,March 3  2017,Action-adventure,Single-player
Horizon Zero Dawn,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,Guerrilla Games,Sony Interactive Entertainment,PlayStation 4 | Microsoft Windows | ,NA: 28 February 2017 | PAL: 1 March 2017,Action role-playing,Single-player
Resident Evil 7: Biohazard,https://en.wikipedia.org/wiki/Resident_Evil_7:_Biohazard,Capcom,Capcom,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,WW: January 24  2017: JP: January 26  2017 | JP: May 24  2018: ,Survival horror,Single-player
Super Mario Odyssey,https://en.wikipedia.org/wiki/Super_Mario_Odyssey,Nintendo EPD[a],Nintendo,Nintendo Switch,WW: October 27  2017,Platform  action-adventure,Single-player |  multiplayer
Wolfenstein II: The New Colossus,https://en.wikipedia.org/wiki/Wolfenstein_II:_The_New_Colossus,MachineGames[a],Bethesda Softworks,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Microsoft Windows  PlayStation 4 & Xbox One27 October 2017: Nintendo Switch29 June 2018 | ,Action adventure  first-person shooter,Single-player


BEST NARRATIVE,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
WHAT REMAINS OF EDITH FINCH (1st),https://en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,Giant Sparrow,Annapurna Interactive,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: April 25  2017 | Xbox One: July 19  2017 | Nintendo Switch: July 4  2019 | ,Adventure,Single-player
Hellblade: Senua's Sacrifice,https://en.wikipedia.org/wiki/Hellblade:_Senua%27s_Sacrifice,Ninja Theory,Ninja Theory,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: August 8  2017 | Xbox One: April 11  2018 | Nintendo Switch: April 11  2019 | ,Action-adventure  hack and slash,Single-player
Horizon Zero Dawn,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,Guerrilla Games,Sony Interactive Entertainment,PlayStation 4 | Microsoft Windows | ,NA: 28 February 2017 | PAL: 1 March 2017,Action role-playing,Single-player
Nier: Automata,https://en.wikipedia.org/wiki/Nier:_Automata,PlatinumGames[a],Square Enix,PlayStation 4 | Microsoft Windows | Xbox One | ,JP: February 23  2017: NA: March 7  2017 | PAL: March 10  2017: WW: March 17  2017 | WW: June 26  2018: ,Action role-playing,Single-player
Wolfenstein II: The New Colossus,https://en.wikipedia.org/wiki/Wolfenstein_II:_The_New_Colossus,MachineGames[a],Bethesda Softworks,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Microsoft Windows  PlayStation 4 & Xbox One27 October 2017: Nintendo Switch29 June 2018 | ,Action adventure  first-person shooter,Single-player


BEST ART DIRECTION,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
CUPHEAD (1st),https://en.wikipedia.org/wiki/Cuphead,StudioMDHR,StudioMDHR,Microsoft Windows | Xbox One | macOS | Nintendo Switch | ,Windows  Xbox One: September 29  2017 | macOS: October 19  2018 | Nintendo Switch: April 18  2019 | ,Run and gun,Single-player |  multiplayer
Destiny 2,https://en.wikipedia.org/wiki/Destiny_2,Bungie[a],Activision (2017–2019) | Bungie (2019–present) | ,Windows | PlayStation 4 | Xbox One | Stadia | ,PS4  Xbox One: September 6  2017 | Windows: October 24  2017 | Stadia: November 19  2019 | ,First-person shooter,Multiplayer
Horizon Zero Dawn,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,Guerrilla Games,Sony Interactive Entertainment,PlayStation 4 | Microsoft Windows | ,NA: 28 February 2017 | PAL: 1 March 2017,Action role-playing,Single-player
Persona 5,https://en.wikipedia.org/wiki/Persona_5,P-Studio,JP: Atlus | NA: Atlus USA | PAL: Deep Silver (Sega (Royal) | ,PlayStation 3 | PlayStation 4 | ,September 15  2016,Role-playing  social simulation,Single-player
The Legend of Zelda: Breath of the Wild,https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,Nintendo EPD,Nintendo,Nintendo Switch | Wii U | ,March 3  2017,Action-adventure,Single-player


BEST SCORE/MUSIC,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
NIER: AUTOMATA (1st),https://en.wikipedia.org/wiki/Nier:_Automata,PlatinumGames[a],Square Enix,PlayStation 4 | Microsoft Windows | Xbox One | ,JP: February 23  2017: NA: March 7  2017 | PAL: March 10  2017: WW: March 17  2017 | WW: June 26  2018: ,Action role-playing,Single-player
Cuphead,https://en.wikipedia.org/wiki/Cuphead,StudioMDHR,StudioMDHR,Microsoft Windows | Xbox One | macOS | Nintendo Switch | ,Windows  Xbox One: September 29  2017 | macOS: October 19  2018 | Nintendo Switch: April 18  2019 | ,Run and gun,Single-player |  multiplayer
Destiny 2,https://en.wikipedia.org/wiki/Destiny_2,Bungie[a],Activision (2017–2019) | Bungie (2019–present) | ,Windows | PlayStation 4 | Xbox One | Stadia | ,PS4  Xbox One: September 6  2017 | Windows: October 24  2017 | Stadia: November 19  2019 | ,First-person shooter,Multiplayer
Persona 5,https://en.wikipedia.org/wiki/Persona_5,P-Studio,JP: Atlus | NA: Atlus USA | PAL: Deep Silver (Sega (Royal) | ,PlayStation 3 | PlayStation 4 | ,September 15  2016,Role-playing  social simulation,Single-player
Super Mario Odyssey,https://en.wikipedia.org/wiki/Super_Mario_Odyssey,Nintendo EPD[a],Nintendo,Nintendo Switch,WW: October 27  2017,Platform  action-adventure,Single-player |  multiplayer
The Legend of Zelda: Breath of the Wild,https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,Nintendo EPD,Nintendo,Nintendo Switch | Wii U | ,March 3  2017,Action-adventure,Single-player


BEST AUDIO DESIGN,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
HELLBLADE: SENUA'S SACRIFICE (1st),https://en.wikipedia.org/wiki/Hellblade:_Senua%27s_Sacrifice,Ninja Theory,Ninja Theory,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: August 8  2017 | Xbox One: April 11  2018 | Nintendo Switch: April 11  2019 | ,Action-adventure  hack and slash,Single-player
Destiny 2,https://en.wikipedia.org/wiki/Destiny_2,Bungie[a],Activision (2017–2019) | Bungie (2019–present) | ,Windows | PlayStation 4 | Xbox One | Stadia | ,PS4  Xbox One: September 6  2017 | Windows: October 24  2017 | Stadia: November 19  2019 | ,First-person shooter,Multiplayer
Resident Evil 7: Biohazard,https://en.wikipedia.org/wiki/Resident_Evil_7:_Biohazard,Capcom,Capcom,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,WW: January 24  2017: JP: January 26  2017 | JP: May 24  2018: ,Survival horror,Single-player
Super Mario Odyssey,https://en.wikipedia.org/wiki/Super_Mario_Odyssey,Nintendo EPD[a],Nintendo,Nintendo Switch,WW: October 27  2017,Platform  action-adventure,Single-player |  multiplayer
The Legend of Zelda: Breath of the Wild,https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,Nintendo EPD,Nintendo,Nintendo Switch | Wii U | ,March 3  2017,Action-adventure,Single-player


GAMES FOR IMPACT,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
HELLBLADE: SENUA'S SACRIFICE (1st),https://en.wikipedia.org/wiki/Hellblade:_Senua%27s_Sacrifice,Ninja Theory,Ninja Theory,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: August 8  2017 | Xbox One: April 11  2018 | Nintendo Switch: April 11  2019 | ,Action-adventure  hack and slash,Single-player
Bury Me, My Love
Life is Strange: Before the Storm,https://en.wikipedia.org/wiki/Life_is_Strange:_Before_the_Storm,Deck Nine,Square Enix | Feral Interactive (Linux  macOS) | ,Microsoft Windows | PlayStation 4 | Xbox One | Linux | macOS | Android | iOS | ,Episode 1: 31 August 2017 | Episode 2: 19 October 2017[1] | Episode 3: 20 December 2017[2] | ,Graphic adventure,Single-player
Night in the Woods,https://en.wikipedia.org/wiki/Night_in_the_Woods,Infinite Fall,Finji,Microsoft Windows | macOS | Linux | PlayStation 4 | Xbox One | Nintendo Switch | iOS | Android | ,February 21  2017,Adventure,Single-player
Please Knock on My Door
What Remains of Edith Finch,https://en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,Giant Sparrow,Annapurna Interactive,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: April 25  2017 | Xbox One: July 19  2017 | Nintendo Switch: July 4  2019 | ,Adventure,Single-player


BEST ONGOING GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
OVERWATCH (1st),https://en.wikipedia.org/wiki/Overwatch_(video_game),Blizzard Entertainment,Blizzard Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Microsoft Windows  PS4  Xbox One: May 24  2016 | Nintendo Switch: October 15  2019 | ,First-person shooter,Multiplayer
Destiny 2,https://en.wikipedia.org/wiki/Destiny_2,Bungie[a],Activision (2017–2019) | Bungie (2019–present) | ,Windows | PlayStation 4 | Xbox One | Stadia | ,PS4  Xbox One: September 6  2017 | Windows: October 24  2017 | Stadia: November 19  2019 | ,First-person shooter,Multiplayer
Grand Theft Auto Online,https://en.wikipedia.org/wiki/Grand_Theft_Auto_Online,Rockstar North,Rockstar Games,PlayStation 3 | Xbox 360 | PlayStation 4 | Xbox One | Microsoft Windows | ,1 October 2013,Action-adventure,Multiplayer
PlayerUnknown's Battlegrounds,https://en.wikipedia.org/wiki/PlayerUnknown%27s_Battlegrounds,PUBG Corporation[a],PUBG Corporation,Microsoft Windows | Android | iOS | Xbox One | PlayStation 4 | ,December 20  2017,Battle royale,Multiplayer
Tom Clancy's Rainbow Six Siege,https://en.wikipedia.org/wiki/Tom_Clancy%27s_Rainbow_Six_Siege,Ubisoft Montreal[a],Ubisoft,Microsoft Windows | PlayStation 4 | PlayStation 5 | Xbox One | Xbox Series X | ,WW: December 1  2015: WW: Q4 2020 | ,Tactical shooter,Single-player |  multiplayer
Warframe,https://en.wikipedia.org/wiki/Warframe,Digital Extremes,Digital Extremes,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | PlayStation 5 | Xbox Series X | ,NA: November 15  2013PAL: November 29  2013,Action role-playing,Single-player |  multiplayer


BEST INDEPENDENT GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
CUPHEAD (1st),https://en.wikipedia.org/wiki/Cuphead,StudioMDHR,StudioMDHR,Microsoft Windows | Xbox One | macOS | Nintendo Switch | ,Windows  Xbox One: September 29  2017 | macOS: October 19  2018 | Nintendo Switch: April 18  2019 | ,Run and gun,Single-player |  multiplayer
Hellblade: Senua's Sacrifice,https://en.wikipedia.org/wiki/Hellblade:_Senua%27s_Sacrifice,Ninja Theory,Ninja Theory,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PlayStation 4: August 8  2017 | Xbox One: April 11  2018 | Nintendo Switch: April 11  2019 | ,Action-adventure  hack and slash,Single-player
Night in the Woods,https://en.wikipedia.org/wiki/Night_in_the_Woods,Infinite Fall,Finji,Microsoft Windows | macOS | Linux | PlayStation 4 | Xbox One | Nintendo Switch | iOS | Android | ,February 21  2017,Adventure,Single-player
