GAME OF THE YEAR,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
GOD OF WAR (1st),https://en.wikipedia.org/wiki/God_of_War_(2018_video_game),SIE Santa Monica Studio,Sony Interactive Entertainment,PlayStation 4,April 20  2018,Action-adventure  hack and slash,Single-player
Assassin's Creed Odyssey,https://en.wikipedia.org/wiki/Assassin%27s_Creed_Odyssey,Ubisoft Quebec[a],Ubisoft,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch (Japan only) | Stadia | ,October 5  2018,Action role-playing,Single-player
Celeste,https://en.wikipedia.org/wiki/Celeste_(video_game),Matt Makes Games,Matt Makes Games,Linux | macOS | Microsoft Windows | Nintendo Switch | PlayStation 4 | Xbox One | ,January 25  2018,Platform,Single-player
Marvel's Spider-Man,https://en.wikipedia.org/wiki/Spider-Man_(2018_video_game),Insomniac Games,Sony Interactive Entertainment,PlayStation 4,September 7  2018,Action-adventure,Single-player
Monster Hunter: World,https://en.wikipedia.org/wiki/Monster_Hunter:_World,Capcom,Capcom,PlayStation 4 | Xbox One | Microsoft Windows | ,PlayStation 4  Xbox One: January 26  2018 | Windows: August 9  2018 | ,Action role-playing,Single-player |  multiplayer
Red Dead Redemption 2,https://en.wikipedia.org/wiki/Red_Dead_Redemption_2,Rockstar Studios,Rockstar Games,PlayStation 4 | Xbox One | Microsoft Windows | Stadia | ,PlayStation 4  Xbox One: October 26  2018 | Microsoft Windows: November 5  2019 | Stadia: November 19  2019 | ,Action-adventure,Single-player |  multiplayer


