GAME OF THE YEAR,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
DRAGON AGE: INQUISITION (1st),https://en.wikipedia.org/wiki/Dragon_Age:_Inquisition,BioWare,Electronic Arts,Microsoft WindowsPlayStation 3PlayStation 4Xbox 360Xbox One,NA: November 18  2014[2][3]: AU: November 20  2014 | EU: November 21  2014: ,Action role-playing[4],Single-player |  multiplayer
Bayonetta 2,https://en.wikipedia.org/wiki/Bayonetta_2,PlatinumGames,Nintendo,Wii U  Nintendo Switch,JP: September 20  2014[3]: NA/EU: October 24  2014[2] | AU: October 25  2014[4]: WW: February 16  2018[5] | JP: February 17  2018: ,Action  hack and slash,Single-player |  multiplayer
Dark Souls II,https://en.wikipedia.org/wiki/Dark_Souls_II,FromSoftware,JP: FromSoftware | ,PlayStation 3  Xbox 360  Microsoft Windows  PlayStation 4  Xbox One,March 11  2014,Action role-playing,Single-player |  multiplayer
Hearthstone: Heroes of Warcraft,https://en.wikipedia.org/wiki/Hearthstone:_Heroes_of_Warcraft,Blizzard Entertainment,Blizzard Entertainment,Microsoft Windows  macOS  iOS  Android,Windows  macOS: March 11  2014 | iOS: April 16  2014 | Android: December 15  2014 | ,Digital collectible card game,Single-player |  multiplayer
Middle-earth: Shadow of Mordor,https://en.wikipedia.org/wiki/Middle-earth:_Shadow_of_Mordor,Monolith Productions,Warner Bros. Interactive Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | PlayStation 3 | Xbox 360 | Linux | OS X | ,September 30  2014,Action-adventure,Single-player


BEST INDEPENDENT GAME,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
SHOVEL KNIGHT (1st),https://en.wikipedia.org/wiki/Shovel_Knight,Yacht Club Games,Yacht Club Games,Amazon Fire TV | Microsoft Windows | Nintendo 3DS | Nintendo Switch | OS X | Linux | PlayStation 3 | PlayStation 4 | PlayStation Vita | Wii U | Xbox One | ,June 26  2014,Action  platform,Single-player |  multiplayer
Broken Age Act I,https://en.wikipedia.org/wiki/Broken_Age,Double Fine Productions,Double Fine Productions,Microsoft Windows  OS X  Linux  Ouya  iOS  Android  PlayStation 4  PlayStation Vita  Xbox One  Nintendo Switch,April 28  2015,Point-and-click adventure,Single-player
Monument Valley,https://en.wikipedia.org/wiki/Monument_Valley_(video_game),Ustwo Games,Ustwo Games,iOS | Android | Windows Phone | ,iOS: April 3  2014 | Android: May 14  2014 | Windows Phone: April 30  2015 | ,Puzzle,Single-player
Transistor,https://en.wikipedia.org/wiki/Transistor_(video_game),Supergiant Games,Supergiant Games,Microsoft Windows  PlayStation 4  OS X  Linux  iOS  Nintendo Switch,WW: May 20  2014: WW: May 21  2014 | WW: October 30  2014: WW: October 30  2014 | WW: June 11  2015: WW: November 2  2015 | WW: November 1  2018: ,Action role-playing  turn-based strategy,Single-player
The Vanishing of Ethan Carter,https://en.wikipedia.org/wiki/The_Vanishing_of_Ethan_Carter,The Astronauts,The Astronauts,Microsoft WindowsPlayStation 4Xbox OneNintendo Switch,WW: September 26  2014: WW: July 15  2015 | WW: September 12  2015: WW: January 19  2018 | WW: August 15  2019: ,Adventure,Single-player


BEST MOBILE/HANDHELD GAME,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
HEARTHSTONE: HEROES OF WARCRAFT (1st),https://en.wikipedia.org/wiki/Hearthstone:_Heroes_of_Warcraft,Blizzard Entertainment,Blizzard Entertainment,Microsoft Windows  macOS  iOS  Android,Windows  macOS: March 11  2014 | iOS: April 16  2014 | Android: December 15  2014 | ,Digital collectible card game,Single-player |  multiplayer
Bravely Default,https://en.wikipedia.org/wiki/Bravely_Default,Silicon Studio,JP: Square Enix | WW: Nintendo | ,Nintendo 3DS,October 11  2012,Role-playing,Single-player
Monument Valley,https://en.wikipedia.org/wiki/Monument_Valley_(video_game),Ustwo Games,Ustwo Games,iOS | Android | Windows Phone | ,iOS: April 3  2014 | Android: May 14  2014 | Windows Phone: April 30  2015 | ,Puzzle,Single-player
Super Smash Bros. for Nintendo 3DS,https://en.wikipedia.org/wiki/Super_Smash_Bros._for_Nintendo_3DS_and_Wii_U,Bandai Namco StudiosSora Ltd.,Nintendo,Nintendo 3DS  Wii U,JP: September 13  2014: NA/EU: October 3  2014 | AU: October 4  2014: NA: November 21  2014 | EU: November 28  2014: AU: November 29  2014 | JP: December 6  2014: ,Fighting,Single-player |  multiplayer
Threes,https://en.wikipedia.org/wiki/Threes_(game),Sirvo,Sirvo,iOS  Android  Xbox One  Windows Phone  web browser,iOS: February 6  2014 | Android: March 12  2014 | Xbox One: December 5  2014 | Windows Phone: April 27  2015 | Browser: December 18  2015 | ,Puzzle,Single-player


BEST NARRATIVE,Links,Developer(s),Publisher(s),Platform(s),Release,Genre(s),Mode(s),
